group,foodtype,action,RI,trial,set,μ,sem,firstinspection,n
,mealworm,cache,,,6,11.9,1.5,,
,cricket,cache,,,6,4.8,.5,,
degrade,mealworm,inspect,4,mc,6,12.3,2.2,.875,8
degrade,cricket,inspect,4,mc,6,5.8,1.,.125,8
degrade,mealworm,inspect,28,mc,6,8.,1.8,.125,8
degrade,cricket,inspect,28,mc,6,13.2,3.3,.875,8
replenish,mealworm,inspect,4,mc,6,7.5,1.3,.75,8
replenish,cricket,inspect,4,mc,6,6.25,1.2,.25,8
replenish,mealworm,inspect,28,mc,6,10.,.75,.875,8
replenish,cricket,inspect,28,mc,6,7.25,.75,.125,8
