group,foodtype,action,RI,trial,set,μ,sem,firstinspection,n
,peanut,cache,,,7,9.3,1.5,,64
,other,cache,,,7,7.7,1.6,,64
degrade,other,inspect,52,pc,7,,,.875,8
degrade,other,inspect,76,pc,7,,,.875,16
degrade,other,inspect,124,pc,7,,,.14285,7
replenish,other,inspect,52,pc,7,,,.875,8
replenish,other,inspect,76,pc,7,,,.9375,16
replenish,other,inspect,124,pc,7,,,.875,8
degrade,cricketproportion,inspect,28,pc,7,.45,.06,,8
degrade,cricketproportion,inspect,52,pc,7,.5,.04,,8
degrade,cricketproportion,inspect,76,pc,7,.58,.03,,16
degrade,cricketproportion,inspect,100,pc,7,.38,.03,,16
degrade,cricketproportion,inspect,124,pc,7,.36,.08,,7
replenish,cricketproportion,inspect,28,pc,7,.54,.06,,8
replenish,cricketproportion,inspect,52,pc,7,.57,.03,,8
replenish,cricketproportion,inspect,76,pc,7,.62,.06,,16
replenish,cricketproportion,inspect,100,pc,7,.55,.03,,16
replenish,cricketproportion,inspect,124,pc,7,.6,.06,,8
